organization,website,social,event_description,event_name,inperson_n_h,location_name,street_address,max_capacity,wheelchair_access,public_y_n,register_y_n,free_y_n,cost,date,time,need_to_know,description_add,postal_code,city,email,registration_link,event_contact,photo,email_1,photo_link,event_link,reg_link,full_address,geocodio_address,lat,long,,,
IWG,,,"To Absent Friends Dinner: We will gather to toast, share and remember our absent friends--those who have died-- with stories, music, poetry, good food and good fellowship. ",To Absent Friends Dinner,In-person,Mckelvies,"1680 Lower Water St, Halifax, NS B3J 2Y3",20,Not sure,For the public,They should register,Each participant has to pay for their own dinner,,Sept 30,Evening (5pm-9pm),"We will  gather to toast, share and remember our absent friends--those who have died-- with stories, music, poetry, good food and good fellowship. The shape of the evening will be defined by those who attend and what they choose to share. Bring photos, talismans, and tokens as well as songs, stories and poems to help us commemorate those who have gone before us. ",,,Halifax,,,,,7/20 sent email to restaurant asking if it's wheelchair accessible.,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-li0pvxsi,https://docs.google.com/forms/d/e/1FAIpQLSc601O4AxupLCZxnz6hsiCxsAVMoll3wmDbyazqAF5__uGYPw/viewform,1680 Lower Water St Halifax NS B3J 2Y3 Canada,"1680 Lower Water St, Halifax, NS B3J",44.647625,-63.571591,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Healing the Loss,www.healingtheloss.com,https://www.facebook.com/healingtheloss,Workshop on  Understanding Grief--The Basics     PowerPoint and QA,Understanding Grief - The Basics,"Virtual (if it's virtual, you can skip the next four questions)",,,20,Zoom,For the public,They should register,would say $10.00 if that is comfortable for person but optional. 7/5 she changed it to free.,$10.00 or whatever is comfortable,Sept 23 and/or Sept 24th ,"Morning (9am-12noon), Afternoon (12noon-5pm)",This is a presentation on the practicalities and basics of grief. What you need to support yourself and to support others experiencing loss. ,"I have offered thousands of hours of grief support so far in my career. It is my passion to educate people about grief and loss. When, where, and how it is felt. We are all going to go through loss to a greater or lesser extent. Let's learn how to support ourselves and others.",,,hilaryscott33@gmail.com,,,,7/4: Sent folow-up email.,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-ljhd7f3b,https://docs.google.com/forms/d/e/1FAIpQLSeAq_uDSp1TcHmjBDB2sFrqMpqtx62RMqL2judINnR0cEz7AA/viewform,,,43.99588076,-62.36587459,,,
Cathedral Church of All Saints,,,Natural Burial: Dying Sustainably,Natural Burial: Dying Sustainably,In-person,Cathedral Church of All Saints,1340 Cathedral Lane,300,Yes,For the public,Registration Preferred but Walk-Ins Welcome,Free,,"Wednesday, September 27, 2023",Evening (5pm-9pm),Format will be a panel discussion with opportunity for Q & A between panelists and attendees,,B3H 2Z1,Halifax,cateberry@icloud.com,,,,7/4: Sent folow-up email. 7/25 updates over email.,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-ljhdx4i9,https://www.eventbrite.ca/e/natural-burial-dying-sustainably-tickets-695400289987,1340 Cathedral Lane Halifax Canada,"1340 Cathedral Ln, Halifax, NS B3H",44.640516,-63.580572,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Dalhousie University,,,"Café Scientifique - Good Grief Lives Here!

Good Grief, Nova Scotia! is a week-long grief festival (Sept 23-30, 2023) taking place across Nova Scotia dedicated to supporting Grief Literacy in urban and rural communities. During this week, communities from around the province will be hosting 'Pop Up' events focused on showcasing how Grief Literacy is and can be embedded in community life.

This Cafe application is to support one such 'Pop Up' event, Good Grief Lives Here!, a public panel and discussion at the Central Library in downtown Halifax with didactic and interactive elements encouraging civic engagement towards increasing Grief Literacy in the Halifax Regional Municipality (HRM)",Café Scientifique - Good Grief Lives Here!,In-person,Halifax Central Library,5440 Spring Garden Road ,,Yes,For the public,They can just show up,Free,,September 28th,Evening,"We will foster interaction and dialogue through an in-person Q&A session, as well as a chat function for on-line participants. We will include a sign language interpreter in our event.",,B3J 1E9,"Halifax, Nova Scotia",Lr681398@dal.ca,Form,Lauren Delaney - Research Assistant - Lr681398@dal.ca,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lk7fnuyn,https://www.eventbrite.com/e/good-grief-lives-here-tickets-685592474547?aff=oddtdtcreator,"5440 Spring Garden Road  Halifax, Nova Scotia Canada","5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Bernie's Buddies - kids' grief peer support,https://www.berniesbuddies.ca/,"https://www.instagram.com/berniesbuddies/, https://www.facebook.com/berniesbuddiescalgary","Let's explore the importance of a grassroots approach in supporting grieving children and youth through:
- sharing the importance and availability of resource alternatives,
- increasing resource capacity through partnerships with other service providers especially in rural areas, and 
- reducing isolation by building community around our young grievers. ",Kids' Grief Support - One Size Does Not Fit All,"Virtual (if it's virtual, you can skip the next four questions)",,,,,For the public,They should register,Free,,Sunday September 24,100pm - 200pm,"This session is for anyone interested in helping a grieving child in their life. Family members, friends, teachers, bus drivers, coaches, neighbours, the list is long...we can all walk beside our young companions as they navigate their lives after loss. No credentials required to join our discussion - just an open, caring heart.","Bernie's Buddies is a 100% volunteer-run registered charity that helps kids live again after a death loss through peer group workshops. Each session features a therapy dog visit, yoga movement with breath work and relaxation, and creative art projects to encourage conversation together and the sharing of grief experiences. We've been offering workshops in Calgary, Alberta since 2018 and are holding our first summer half-day camp in Windsor, Nova Scotia on Thursday August 10.",,,berniesbuddiesnovascotia@gmail.com,Registration link available soon,Angela - berniesbuddiesnovascotia@gmail.com,https://drive.google.com/open?id=1tH3pHjeXNbkc0vz25IQiihVOartrw-bP,,https://drive.google.com/uc?export=view&id=Nbkc0vz25IQiihVOartrw-bP,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lka5x8uk,https://www.eventbrite.ca/e/kids-grief-support-one-size-does-not-fit-all-tickets-682531468997?aff=oddtdtcreator,,,43.99588076,-62.36587459,,,
Atlantic School of Theology,https://www.astheology.ns.ca/home/welcome.html,https://www.facebook.com/AtlanticSchoolofTheology/,"This online workshop aims to explore grief among clergy, chaplains/spiritual care practitioners, and healthcare professionals. These groups lose parishioners or patients but often wonder if it is okay to grieve. Not grieving, though, can lead to burnout, and grieving ourselves can help us to better connect to those we serve.
This workshop will cover recent research on disenfranchised grief amongst ministry personnel and healthcare workers. It will also provide ways to grieve and time for participants to share with one another how they cope with the deaths of parishioners/patients.",Should I be grieving?: Disenfranchised Grief and the Caring Professions,"Virtual (if it's virtual, you can skip the next four questions)",,,,,For the public,They should register,Paid,$15 plus Eventbrite fee,September 26,7pm - 8.30pm AST,"This workshop is aimed towards clergy, chaplains/spiritual care practitioners, and healthcare professionals.",,,,virginia.wilmhoff@astheology.ns.ca,https://www.eventbrite.ca/e/should-i-be-grieving-disenfranchised-grief-and-the-caring-professions-tickets-677357814457,"Virginia Wilmhoff, virginia.wilmhoff@astheology.ns.ca",https://drive.google.com/open?id=1lirZ-jcEcfSbUg2FIa_mVpT1CW6PNVq3,,https://drive.google.com/uc?export=view&id=cfSbUg2FIa_mVpT1CW6PNVq3,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-ll1123fc,https://www.eventbrite.ca/e/should-i-be-grieving-disenfranchised-grief-and-the-caring-professions-tickets-677357814457,,,43.99588076,-62.36587459,,,
DCL Law,https://dcllaw.org/,https://www.instagram.com/dcllaw/,"Legal information session on estates and estate planning (wills, power of attorney appointment, and probate).",Planning for Death and Your Legacy - Legal Information on Estate Planning and Probate,I would like to select Virtual for now but I will attempt to book a location for an in person seminar.,,,,,For the public,They can just show up,Free,,September 23rd or 25th,Afternoon or evening,n/a,I am flexible - please let me know what you think would be the best schedule and location for the subject audience,,,,,"Eryn Murphy, emurphy@dcllaw.org, 902-404-3150",,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-ll5ga4q5,,,,43.99588076,-62.36587459,,,
"The International Work Group on Death, Dying, and Bereavement",https://www.iwgddb.com,,"How would you know if your community was grief literate?


In 2018, the Public Health sub-group of the International Work Group on Death, Dying, and Bereavement asked themselves this question. Out of their reflective process they developed and defined the concept: Grief Literacy.

Grief Literacy is the capacity to access, process and use knowledge about the experience of loss to better support all the grievers in our communities. While grief is universal, Grief Literacy will be unique to each community. Grief literacy is a fundamental component of societies that value compassion, community, and mutual support. Broad acceptance and further development of Grief Literacy depends on open communication, identifying challenges and obstacles to promote awareness, and inspiring action aimed at creating more compassionate communities around us.

The idea of Grief Literacy has spread around the world – Grief Literacy belongs to everyone!

Grief Literacy asks us all to reflect on: How would we know if our social worlds were grief literate? Our understandings of Grief Literacy and our abilities to transform these understandings into action will be developed and deepened through the conference, Grief Literacy: From Theory to Action.

The goals of this conference are to:

·              Provide a conceptual overview of Grief Literacy;

·              Showcase examples of Grief Literacy from around the world;

·              Provide tools for participants to move ‘from theory to action’ in their own communities.",Grief Literacy: From Theory to Action,In-person,Dalhousie University - Collaborative Health Education Building,5793 University Ave,,Yes,For the public,They should register,Paid,,September 30,8:30AM - 5PM ADT,X,,B3H 4R2,Halifax,,https://www.ticketscene.ca/events/45006/,X,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-ljhhotdl,https://www.ticketscene.ca/events/45006/,5793 University Ave Halifax Canada,"5793 University Ave, Halifax, NS B3H",44.639324,-63.582899,1,rooftop,City of Halifax Open Government License - Canada V2.0
"Good Grief, Nova Scotia",https://www.goodgriefnovascotia.ca/,,"This event will be the live recording of a Sickboy podcast episode featuring Macdonald and Cadell who will discuss their grief and grief literacy research with the hosts. Examples will include many aspects of grief literacy, including how yard sales and and memorial tattoos are perfect social locations from which to launch conversation and civic engagement in all things grief related.

Sickboy is determined to break down the stigma associated with illness and disease. Jeremie, Brian and Taylor tackle health taboos with people who have experienced them firsthand. Taking the lead from Jeremie's life long battle with Cystic Fibrosis, the three best friends help listeners understand that sometimes the best way to deal with illness, disease and life is simply to laugh. The Sickboy podcast began in Halifax at the Central Library. It
has grown into a wildly popular CBC podcast that has endured.",Sickboy Podcast: What do yard sales and tattoos have to do with grief?,In-person,Halifax Central Library ,5440 Spring Garden Road ,50,Yes,For the public,Ticketed event,Paid,Will update,September 25th (Monday),7:00,N/A,,B3J 1E9,"Halifax, NS ",,Event link for tickets to follow,lauren.delaney@dal.ca,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llbcdou2,https://www.ticketscene.ca/events/45654/,"5440 Spring Garden Road  Halifax, NS  Canada","5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Norse Ridge Services,www.norseridgeservices.ca,@norseridgeservices,"Come learn about the role of an End-of-Life Doula, and join your neighbours in the engaging discussion on death & dying. This (bring your own) bagged lunch & lawn chair gathering will meet in Windsor, Nova Scotia's Victoria park on Tuesday, September 26th at 1230h. If rain threatens, we will move into the Auditorium at the Windsor Community Centre.",What is a Death Doula? I'm Dying to Know.,In-person,Windsor Community Centre,78 Thomas St,20,The building is wheelchair accessible. Unsure of the park accessibility.,For the public,They should register,Free,,Tuesday September 26,12:30p - 3:30p AST,"Bring a bagged lunch, a lawn chair, and dress appropriately for the weather. Maybe bring a cozy blanket to keep warm.

Youth and teens are welcome to attend; however, please note that some discussions can be difficult to grasp for some ages. Use parental discretion.","If you do not wish to register, but would like to attend, you are welcome to.",B0N 2T0,Windsor NS,,kathryn@norseridgeservices.ca,Kathryn - 902-452-4357,https://drive.google.com/open?id=1sog6bRebmnM6nXF0PG3GH5oUD971tqfU,,https://drive.google.com/uc?export=view&id=mnM6nXF0PG3GH5oUD971tqfU,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llfd14cp,,78 Thomas St Windsor NS Canada,"78 Thomas St, Windsor, NS B0N",44.992511,-64.133699,1,rooftop,Province
